endpoint,n1,n2,n3,n4,support_size,equations,forced_equal_block,disposition
A,0,0,0,9,1,0,1,needs_five_point_sumset_argument
A,0,0,1,8,2,56,8,forces_multiplicity_at_least_4
A,0,0,2,7,2,77,0,inconsistent_with_C_nonzero
A,0,0,3,6,2,78,0,inconsistent_with_C_nonzero
A,0,0,4,5,2,70,0,inconsistent_with_C_nonzero
A,0,0,5,4,2,60,0,inconsistent_with_C_nonzero
A,0,0,6,3,2,51,0,inconsistent_with_C_nonzero
A,0,0,7,2,2,42,7,forces_multiplicity_at_least_4
A,0,0,8,1,2,28,8,forces_multiplicity_at_least_4
A,0,0,9,0,1,0,1,needs_five_point_sumset_argument
A,0,1,0,8,2,28,8,forces_multiplicity_at_least_4
A,0,1,1,7,3,57,0,inconsistent_with_C_nonzero
A,0,1,2,6,3,63,0,inconsistent_with_C_nonzero
A,0,1,3,5,3,58,0,inconsistent_with_C_nonzero
A,0,1,4,4,3,50,0,inconsistent_with_C_nonzero
A,0,1,5,3,3,43,0,inconsistent_with_C_nonzero
A,0,1,6,2,3,37,0,inconsistent_with_C_nonzero
A,0,1,7,1,3,28,7,forces_multiplicity_at_least_4
A,0,1,8,0,2,8,8,forces_multiplicity_at_least_4
A,0,2,0,7,2,42,7,forces_multiplicity_at_least_4
A,0,2,1,6,3,52,0,inconsistent_with_C_nonzero
A,0,2,2,5,3,50,0,inconsistent_with_C_nonzero
A,0,2,3,4,3,45,0,inconsistent_with_C_nonzero
A,0,2,4,3,3,42,0,inconsistent_with_C_nonzero
A,0,2,5,2,3,42,0,inconsistent_with_C_nonzero
A,0,2,6,1,3,42,0,inconsistent_with_C_nonzero
A,0,2,7,0,2,35,0,inconsistent_with_C_nonzero
A,0,3,0,6,2,51,0,inconsistent_with_C_nonzero
A,0,3,1,5,3,48,0,inconsistent_with_C_nonzero
A,0,3,2,4,3,43,0,inconsistent_with_C_nonzero
A,0,3,3,3,3,42,0,inconsistent_with_C_nonzero
A,0,3,4,2,3,47,0,inconsistent_with_C_nonzero
A,0,3,5,1,3,56,0,inconsistent_with_C_nonzero
A,0,3,6,0,2,63,0,inconsistent_with_C_nonzero
A,0,4,0,5,2,60,0,inconsistent_with_C_nonzero
A,0,4,1,4,3,48,0,inconsistent_with_C_nonzero
A,0,4,2,3,3,43,0,inconsistent_with_C_nonzero
A,0,4,3,2,3,48,0,inconsistent_with_C_nonzero
A,0,4,4,1,3,62,0,inconsistent_with_C_nonzero
A,0,4,5,0,2,80,0,inconsistent_with_C_nonzero
A,0,5,0,4,2,70,0,inconsistent_with_C_nonzero
A,0,5,1,3,3,51,0,inconsistent_with_C_nonzero
A,0,5,2,2,3,47,0,inconsistent_with_C_nonzero
A,0,5,3,1,3,58,0,inconsistent_with_C_nonzero
A,0,5,4,0,2,80,0,inconsistent_with_C_nonzero
A,0,6,0,3,2,78,0,inconsistent_with_C_nonzero
A,0,6,1,2,3,52,0,inconsistent_with_C_nonzero
A,0,6,2,1,3,48,0,inconsistent_with_C_nonzero
A,0,6,3,0,2,63,0,inconsistent_with_C_nonzero
A,0,7,0,2,2,77,0,inconsistent_with_C_nonzero
A,0,7,1,1,3,42,7,forces_multiplicity_at_least_4
A,0,7,2,0,2,35,0,inconsistent_with_C_nonzero
A,0,8,0,1,2,56,8,forces_multiplicity_at_least_4
A,0,8,1,0,2,8,8,forces_multiplicity_at_least_4
A,0,9,0,0,1,0,1,needs_five_point_sumset_argument
A,1,0,0,8,2,8,8,forces_multiplicity_at_least_4
A,1,0,1,7,3,42,7,forces_multiplicity_at_least_4
A,1,0,2,6,3,52,0,inconsistent_with_C_nonzero
A,1,0,3,5,3,51,0,inconsistent_with_C_nonzero
A,1,0,4,4,3,48,0,inconsistent_with_C_nonzero
A,1,0,5,3,3,48,0,inconsistent_with_C_nonzero
A,1,0,6,2,3,52,0,inconsistent_with_C_nonzero
A,1,0,7,1,3,57,0,inconsistent_with_C_nonzero
A,1,0,8,0,2,56,8,forces_multiplicity_at_least_4
A,1,1,0,7,3,28,7,forces_multiplicity_at_least_4
A,1,1,1,6,4,48,0,inconsistent_with_C_nonzero
A,1,1,2,5,4,52,0,inconsistent_with_C_nonzero
A,1,1,3,4,4,50,0,inconsistent_with_C_nonzero
A,1,1,4,3,4,48,0,inconsistent_with_C_nonzero
A,1,1,5,2,4,48,0,inconsistent_with_C_nonzero
A,1,1,6,1,4,48,0,inconsistent_with_C_nonzero
A,1,1,7,0,3,42,7,forces_multiplicity_at_least_4
A,1,2,0,6,3,37,0,inconsistent_with_C_nonzero
A,1,2,1,5,4,48,0,inconsistent_with_C_nonzero
A,1,2,2,4,4,50,0,inconsistent_with_C_nonzero
A,1,2,3,3,4,50,0,inconsistent_with_C_nonzero
A,1,2,4,2,4,51,0,inconsistent_with_C_nonzero
A,1,2,5,1,4,52,0,inconsistent_with_C_nonzero
A,1,2,6,0,3,48,0,inconsistent_with_C_nonzero
A,1,3,0,5,3,43,0,inconsistent_with_C_nonzero
A,1,3,1,4,4,48,0,inconsistent_with_C_nonzero
A,1,3,2,3,4,50,0,inconsistent_with_C_nonzero
A,1,3,3,2,4,53,0,inconsistent_with_C_nonzero
A,1,3,4,1,4,57,0,inconsistent_with_C_nonzero
A,1,3,5,0,3,58,0,inconsistent_with_C_nonzero
A,1,4,0,4,3,50,0,inconsistent_with_C_nonzero
A,1,4,1,3,4,50,0,inconsistent_with_C_nonzero
A,1,4,2,2,4,52,0,inconsistent_with_C_nonzero
A,1,4,3,1,4,57,0,inconsistent_with_C_nonzero
A,1,4,4,0,3,62,0,inconsistent_with_C_nonzero
A,1,5,0,3,3,58,0,inconsistent_with_C_nonzero
A,1,5,1,2,4,52,0,inconsistent_with_C_nonzero
A,1,5,2,1,4,52,0,inconsistent_with_C_nonzero
A,1,5,3,0,3,56,0,inconsistent_with_C_nonzero
A,1,6,0,2,3,63,0,inconsistent_with_C_nonzero
A,1,6,1,1,4,48,0,inconsistent_with_C_nonzero
A,1,6,2,0,3,42,0,inconsistent_with_C_nonzero
A,1,7,0,1,3,57,0,inconsistent_with_C_nonzero
A,1,7,1,0,3,28,7,forces_multiplicity_at_least_4
A,1,8,0,0,2,28,8,forces_multiplicity_at_least_4
A,2,0,0,7,2,35,0,inconsistent_with_C_nonzero
A,2,0,1,6,3,48,0,inconsistent_with_C_nonzero
A,2,0,2,5,3,47,0,inconsistent_with_C_nonzero
A,2,0,3,4,3,43,0,inconsistent_with_C_nonzero
A,2,0,4,3,3,43,0,inconsistent_with_C_nonzero
A,2,0,5,2,3,50,0,inconsistent_with_C_nonzero
A,2,0,6,1,3,63,0,inconsistent_with_C_nonzero
A,2,0,7,0,2,77,0,inconsistent_with_C_nonzero
A,2,1,0,6,3,42,0,inconsistent_with_C_nonzero
A,2,1,1,5,4,52,0,inconsistent_with_C_nonzero
A,2,1,2,4,4,52,0,inconsistent_with_C_nonzero
A,2,1,3,3,4,50,0,inconsistent_with_C_nonzero
A,2,1,4,2,4,50,0,inconsistent_with_C_nonzero
A,2,1,5,1,4,52,0,inconsistent_with_C_nonzero
A,2,1,6,0,3,52,0,inconsistent_with_C_nonzero
A,2,2,0,5,3,42,0,inconsistent_with_C_nonzero
A,2,2,1,4,4,51,0,inconsistent_with_C_nonzero
A,2,2,2,3,4,53,0,inconsistent_with_C_nonzero
A,2,2,3,2,4,53,0,inconsistent_with_C_nonzero
A,2,2,4,1,4,52,0,inconsistent_with_C_nonzero
A,2,2,5,0,3,47,0,inconsistent_with_C_nonzero
A,2,3,0,4,3,42,0,inconsistent_with_C_nonzero
A,2,3,1,3,4,50,0,inconsistent_with_C_nonzero
A,2,3,2,2,4,53,0,inconsistent_with_C_nonzero
A,2,3,3,1,4,53,0,inconsistent_with_C_nonzero
A,2,3,4,0,3,48,0,inconsistent_with_C_nonzero
A,2,4,0,3,3,45,0,inconsistent_with_C_nonzero
A,2,4,1,2,4,50,0,inconsistent_with_C_nonzero
A,2,4,2,1,4,51,0,inconsistent_with_C_nonzero
A,2,4,3,0,3,47,0,inconsistent_with_C_nonzero
A,2,5,0,2,3,50,0,inconsistent_with_C_nonzero
A,2,5,1,1,4,48,0,inconsistent_with_C_nonzero
A,2,5,2,0,3,42,0,inconsistent_with_C_nonzero
A,2,6,0,1,3,52,0,inconsistent_with_C_nonzero
A,2,6,1,0,3,37,0,inconsistent_with_C_nonzero
A,2,7,0,0,2,42,7,forces_multiplicity_at_least_4
A,3,0,0,6,2,63,0,inconsistent_with_C_nonzero
A,3,0,1,5,3,58,0,inconsistent_with_C_nonzero
A,3,0,2,4,3,48,0,inconsistent_with_C_nonzero
A,3,0,3,3,3,42,0,inconsistent_with_C_nonzero
A,3,0,4,2,3,45,0,inconsistent_with_C_nonzero
A,3,0,5,1,3,58,0,inconsistent_with_C_nonzero
A,3,0,6,0,2,78,0,inconsistent_with_C_nonzero
A,3,1,0,5,3,56,0,inconsistent_with_C_nonzero
A,3,1,1,4,4,57,0,inconsistent_with_C_nonzero
A,3,1,2,3,4,53,0,inconsistent_with_C_nonzero
A,3,1,3,2,4,50,0,inconsistent_with_C_nonzero
A,3,1,4,1,4,50,0,inconsistent_with_C_nonzero
A,3,1,5,0,3,51,0,inconsistent_with_C_nonzero
A,3,2,0,4,3,47,0,inconsistent_with_C_nonzero
A,3,2,1,3,4,53,0,inconsistent_with_C_nonzero
A,3,2,2,2,4,53,0,inconsistent_with_C_nonzero
